孵化站,办公楼东梯,施塔德电梯,乘客电梯,31103203232016020595,,日立电梯（中国）有限公司,2015-09-01,15NE2919,STD-K,曳引驱动,6,6,6,1000,1,2017-09-29,江苏省徐州市泉山区文亭街1号,,,
孵化站,办公楼西梯,施塔德电梯,乘客电梯,31103203232016020596,,日立电梯（中国）有限公司,2015-09-01,15NE2920,STD-K,曳引驱动,6,6,6,1000,1,2017-09-29,江苏省徐州市泉山区文亭街1号,,,
汉中福喜酒店,酒店大厅东梯,巨人通力电梯,乘客电梯,31103203112011030355,4,日立电梯（中国）有限公司,2009-12-01,G34600,GPS30K,曳引驱动,16,16,16,1000,1.75,2018-04-17,解放南路与金山路交叉口,,,
汉中福喜酒店,酒店大厅西梯,巨人通力电梯,乘客电梯,31103203112011030354,3,日立电梯（中国）有限公司,2009-12-01,G34599,GPS30K,曳引驱动,16,16,16,1000,1.75,2018-04-17,解放南路与金山路交叉口,,,
财经学校体育馆,1#,东芝电梯,乘客电梯,,,日立电梯（中国）有限公司,,,SPACEL-E PLUS,曳引驱动,4,4,4,1050,1,,金山东路32号,,,
金府家园,1单元东梯,日立电梯,乘客电梯,31103203112010121138,1#,日立电梯（中国）有限公司,2007-06-01,07G010208,HGP-825-CO105,曳引驱动,18,18,18,825,1.75,2017-09-30,湖北路80号,,,
金府家园,1单元西梯,日立电梯,乘客电梯,31103203112010121139,2#,日立电梯（中国）有限公司,2007-06-01,07G010106,HGP-825-CO105,曳引驱动,17,17,17,825,1.75,2017-09-30,湖北路80号,,,
金府家园,2单元东梯,日立电梯,乘客电梯,31103203112010121137,3#,日立电梯（中国）有限公司,2007-06-01,07G010110,HGP-825-CO105,曳引驱动,18,18,18,825,1.75,2017-09-30,湖北路80号,,,
金府家园,2单元西梯,日立电梯,乘客电梯,31103203112010121136,4#,日立电梯（中国）有限公司,2007-06-01,07G010111,HGP-825-CO105,曳引驱动,19,19,19,825,1.75,2017-09-30,湖北路80号,,,
金府家园,3单元东梯,日立电梯,乘客电梯,31103203112010121130,5#,日立电梯（中国）有限公司,2007-06-01,07G010113,HGP-825-CO105,曳引驱动,21,21,21,825,1.75,2017-09-30,湖北路80号,,,
金府家园,3单元西梯,日立电梯,乘客电梯,31103203112010121131,6#,华升富士达电梯有限公司,2007-06-01,07G010112,HGP-825-CO105,曳引驱动,20,20,20,825,1.75,2017-09-30,湖北路80号,,,
金府家园,4单元东梯,日立电梯,乘客电梯,31103203112010121132,7#,华升富士达电梯有限公司,2007-10-01,07G010115,HGP-825-CO105,曳引驱动,22,22,22,825,1.75,2017-09-30,湖北路80号,,,
金府家园,4单元西梯,日立电梯,乘客电梯,31103203112010121133,8#,华升富士达电梯有限公司,2007-06-01,07G010114,HGP-825-CO105,曳引驱动,21,21,21,825,1.75,2017-09-30,湖北路80号,,,
金府家园,5单元东梯,日立电梯,乘客电梯,31103203112010121135,9#,华升富士达电梯有限公司,2007-06-01,07G010107,HGP-825-CO105,曳引驱动,17,17,17,825,1.75,2017-09-30,湖北路80号,,,
金府家园,5单元西梯,日立电梯,乘客电梯,31103203112010121134,10#,华升富士达电梯有限公司,2007-06-01,07G010109,HGP-825-CO105,曳引驱动,18,18,18,825,1.75,2017-09-30,湖北路80号,,,
江苏师范大学,19号楼重点实验室,东芝电梯,乘客电梯,31103203232003091257,1#,华升富士达电梯有限公司,2003-05-01,ST-030946-010,TKJ1000/1.0-JX,曳引驱动,6,6,6,1000,1,2017-08-04,上海路101号,,,
