大汉新城,大汉新城5栋西单元,永大,乘客电梯,31104306032013030001,,上海永大电梯设备有限公司,2013-2-19,2U51079,IQP-825*9/9-C0090,,9,9,9,825,1.5,2018-2-28,岳阳市云溪区杨冲路,,,
大汉新城,大汉新城4栋东单元,永大,乘客电梯,31104306032013020005,,上海永大电梯设备有限公司,2013-2-19,2U51078,IQP-825*9/9-C0090,,9,9,9,825,1.5,2018-2-28,岳阳市云溪区杨冲路,,,
大汉新城,大汉新城4栋中单元,永大,乘客电梯,31104306032013020004,,上海永大电梯设备有限公司,2013-2-19,2U51077,IQP-825*9/9-C0090,,9,9,9,825,1.5,2018-2-28,岳阳市云溪区杨冲路,,,
大汉新城,大汉新城4栋西单元,永大,乘客电梯,31104306032013020003,,上海永大电梯设备有限公司,2013-2-19,2U51076,IQP-825*9/9-C0090,,9,9,9,825,1.5,2018-2-28,岳阳市云溪区杨冲路,,,
大汉新城,大汉新城3栋东单元,永大,乘客电梯,31104306032013020002,,上海永大电梯设备有限公司,2013-2-19,2U51075,IQP-825*11/11-C0090,,11,11,11,825,1.5,2018-2-28,岳阳市云溪区杨冲路,,,
大汉新城,大汉新城3栋西单元,永大,乘客电梯,31104306032013020001,,上海永大电梯设备有限公司,2013-2-19,2U51074,IQP-825*11/11-C0090,,11,11,11,825,1.5,2018-2-28,岳阳市云溪区杨冲路,,,
汩罗市环境保护局,办公楼右2#,日立电梯（中国）有限公司,乘客电梯,31104306812014090007,,日立电梯（中国）有限公司,2014-7-10,14G028354,MCA-1050-C090,,12,12,12,1050,1.5,2018-2-6,汩罗市屈原南路222号,,,
汩罗市环境保护局,办公楼左1#,日立电梯（中国）有限公司,乘客电梯,31104306812014090006,,日立电梯（中国）有限公司,2014-7-10,14G028353,MCA-1050-C090,,12,12,12,1050,1.5,2018-2-6,汩罗市屈原南路222号,,,
王小平,住宅楼1#,广州广日电梯工业有限公司,乘客电梯,31104306262018010004,,广州广日电梯工业有限公司,2017-12-1,17570233001,MAX-E1050-C01.5,,8,8,8,1050,1.5,2018-2-9,平江县南江镇106国道旁黄家,,,
方帽军,住宅楼1#,广东华凯电梯有限公司,乘客电梯,31104306262018020008,,广东华凯电梯有限公司,2017-1-8,K201712027,GWE-T-800/1.5,,9,9,9,800,1.5,2018-2-9,平江县南江镇人民路与106交叉口,,,
王全球,住宅楼1#,广东华凯电梯有限公司,乘客电梯,31104306262017110009,,广东华凯电梯有限公司,2017-11-17,K201710039,TLJ825/1.5-JXW.VVVF,,9,9,9,825,1.5,2018-2-9,平江县南江镇桥东村羊马滩,,,
陈石,住宅楼1#,广东华凯电梯有限公司,乘客电梯,31104306262017110010,,广东华凯电梯有限公司,2017-11-17,K201710040,TLJ825/1.5-JXW.VVVF,,8,8,8,825,1.5,2018-2-9,平江县南江镇106国道与幕阜大道交汇处,,,
南湖一号,超市1-2楼左2#,日立电梯（中国）有限公司,乘客电梯,33104306002018010014,,日立电梯（中国）有限公司,2017-10-31,15G016532,1000SX-EN,,,,,,0.5,2018-2-3,岳阳市湖滨大道,,,
南湖一号,超市1-2楼右1#,日立电梯（中国）有限公司,乘客电梯,33104306002018010013,,日立电梯（中国）有限公司,2017-10-30,15G016533,1000SX-EN,,,,,,0.5,2018-2-3,岳阳市湖滨大道,,,
南湖一号,好又多超市3#,日立电梯（中国）有限公司,乘客电梯,31104306002017120009,,日立电梯（中国）有限公司,2017-11-10,17G058237,LCA-1050-C060,,2,2,2,1050,1,2018-2-3,岳阳市湖滨大道,,,
向阳郡,7栋东单元右7-4#,广州广日电梯工业有限公司,乘客电梯,31104306822017060004,,广州广日电梯工业有限公司,2017-2-1,16360633007,MAX-E825-C01.75,,17,17,17,825,1.75,2018-1-22,临湘市向阳路,,,
向阳郡,8栋1单元左8-1#,广州广日电梯工业有限公司,乘客电梯,31104306822017060008,,广州广日电梯工业有限公司,2017-2-1,16360633008,MAX-E825-C01.75,,17,17,17,825,1.75,2018-2-2,临湘市向阳路,,,
向阳郡,8栋1单元右8-2#,广州广日电梯工业有限公司,乘客电梯,31104306822017060007,,广州广日电梯工业有限公司,2017-2-1,16360633006,MAX-E1050-C01.75,,18,18,18,1050,1.75,2018-1-22,临湘市向阳路,,,
向阳郡,8栋2单元左8-3#,广州广日电梯工业有限公司,乘客电梯,31104306822017060006,,广州广日电梯工业有限公司,2017-2-1,16360633004,MAX-E825-C01.75,,17,17,17,825,1.75,2018-1-22,临湘市向阳路,,,
向阳郡,8栋2单元右8-4#,广州广日电梯工业有限公司,乘客电梯,31104306822017060005,,广州广日电梯工业有限公司,2017-2-1,16360633002,MAX-E1050-C01.75,,18,18,18,1050,1.75,2018-1-22,临湘市向阳路,,,
向阳郡,7栋西单元左7-1#,广州广日电梯工业有限公司,乘客电梯,31104306822017050001,,广州广日电梯工业有限公司,2017-2-1,16360633001,MAX-E1050-C01.75,,18,18,18,1050,1.75,2018-1-22,临湘市向阳路,,,
向阳郡,7栋西单元右7-2#,广州广日电梯工业有限公司,乘客电梯,31104306822017050003,,广州广日电梯工业有限公司,2017-2-1,16360633003,MAX-E825-C01.75,,17,17,17,825,1.75,2018-1-22,临湘市向阳路,,,
向阳郡,7栋东单元左7-3#,广州广日电梯工业有限公司,乘客电梯,31104306822017050002,,广州广日电梯工业有限公司,2017-2-1,16360633005,MAX-E1050-C01.75,,18,18,18,1050,1.75,2018-1-23,临湘市向阳路,,,
财富广场,财富广场北3#,日立电梯（中国）有限公司,乘客电梯,31104306822017050025,,日立电梯（中国）有限公司,2017-3-1,16G068455,HGE-1050-C0120,,33,33,33,1050,2,2018-1-19,临湘市富桥路大市场旁,,,
财富广场,财富广场南左2#,日立电梯（中国）有限公司,乘客电梯,31104306822017050024,,日立电梯（中国）有限公司,2017-3-1,16G068453,HGE-1050-C0120,,33,33,33,1050,2,2018-1-19,临湘市富桥路大市场旁,,,
财富广场,财富广场南右1#,日立电梯（中国）有限公司,乘客电梯,31104306822017050023,,日立电梯（中国）有限公司,2017-3-1,16G068454,HGE-825-C0120,,33,33,33,825,2,2018-1-19,临湘市富桥路大市场旁,,,
万移海,住宅楼1#,日立电梯（中国）有限公司,乘客电梯,31104306002017120008,,日立电梯（中国）有限公司,2017-11-20,17G064623,HGE-825-C090,,10,10,10,825,1.5,2018-1-3,岳阳市107国道竹林大市场,,,
岳阳恒泰房地产开发有限责任公司,恒泰雅园10栋右10,广州广日电梯工业有限公司,乘客电梯,31104306002017080002,,广州广日电梯工业有限公司,2017-3-16,16360533010,MAX-E1050-C01.75,,18,18,18,1050,1.75,2018-1-22,岳阳市青年中路398号,,,
岳阳恒泰房地产开发有限责任公司,恒泰雅园1栋东左4#,广州广日电梯工业有限公司,乘客电梯,30004306002017080001,,广州广日电梯工业有限公司,2017-3-1,16360533004,MAX-E1050-C01.75,,17,17,17,1050,1.75,2018-1-22,岳阳市青年中路398号,,,
岳阳恒泰房地产开发有限责任公司,恒泰雅园1栋东右3#,广州广日电梯工业有限公司,乘客电梯,31104306022017040010,,广州广日电梯工业有限公司,2017-2-1,16360533003,MAX-E1050-C01.75,,17,17,17,1050,1.75,2018-1-22,岳阳市青年中路398号,,,
岳阳恒泰房地产开发有限责任公司,恒泰雅园1栋西左2#,广州广日电梯工业有限公司,乘客电梯,311043060020180355,,广州广日电梯工业有限公司,2017-2-1,16360533002,MAX-E1050-C01.75,,17,17,17,1050,1.75,2018-1-22,岳阳市青年中路398号,,,
岳阳恒泰房地产开发有限责任公司,恒泰雅园1栋西左1#,广州广日电梯工业有限公司,乘客电梯,31104306022017040009,,广州广日电梯工业有限公司,2017-2-1,16360533001,MAX-E1050-C01.75,,17,17,17,1050,1.75,2018-1-22,岳阳市青年中路398号,,,
岳阳恒泰房地产开发有限责任公司,恒泰雅园10栋左9#,广州广日电梯工业有限公司,乘客电梯,31104306022017040013,,广州广日电梯工业有限公司,2017-2-1,16360533009,MAX-E1050-C01.75,,18,18,18,1050,1.75,2018-1-22,岳阳市青年中路398号,,,
岳阳恒泰房地产开发有限责任公司,恒泰雅园9栋左8#,广州广日电梯工业有限公司,乘客电梯,31104306022017080006,,广州广日电梯工业有限公司,2017-3-1,16360533008,MAX-E1050-C01.75,,18,18,18,1050,1.75,2018-1-22,岳阳市青年中路398号,,,
岳阳恒泰房地产开发有限责任公司,恒泰雅园9栋左7#,广州广日电梯工业有限公司,乘客电梯,31104306022017040012,,广州广日电梯工业有限公司,2017-2-1,16360533007,MAX-E1050-C01.75,,18,18,18,1050,1.75,2018-1-22,岳阳市青年中路398号,,,
岳阳恒泰房地产开发有限责任公司,恒泰雅园2栋左6#,广州广日电梯工业有限公司,乘客电梯,31104306022017080005,,广州广日电梯工业有限公司,2017-2-1,16360533006,MAX-E1050-C01.75,,18,18,18,1050,1.75,2018-1-22,岳阳市青年中路398号,,,
岳阳恒泰房地产开发有限责任公司,恒泰雅园2栋右5#,广州广日电梯工业有限公司,乘客电梯,31104306022017040011,,广州广日电梯工业有限公司,2017-2-1,16360533005,MAX-E1050-C01.75,,17,17,17,1050,1.75,2018-1-22,岳阳市青年中路398号,,,
华容县中医院,住院楼2#,广东华凯电梯有限公司,乘客电梯,31104306232017050012,,广东华凯电梯有限公司,2017-5-19,K201705002,TBJ1600/1.0-JXW.VVVF,,6,6,6,1600,1,2017-12-8,湖南省华容县章华镇解放路19号,,,
华容县中医院,住院楼1#,广东华凯电梯有限公司,乘客电梯,31104306232017050011,,广东华凯电梯有限公司,2017-5-19,K201705003,TBJ1600/1.0-JXW.VVVF,,6,6,6,1600,1,2017-12-8,湖南省华容县章华镇解放路19号,,,
王忠,住宅楼1#,广东华凯电梯有限公司,乘客电梯,31104306262017070022,,广东华凯电梯有限公司,2017-6-5,K201705028,TKJ800/1.0-JXW.VVVF,,85,85,85,800,1,2018-1-9,平江县南江镇西街,,,
甘春周,住宅楼1#,广州广日电梯工业有限公司,乘客电梯,31104306262017090013,,广州广日电梯工业有限公司,2017-9-11,17335733001,MAX-E,,7,7,7,825,1,2018-1-16,平江县城关镇原311大队,,,
卢省安,住宅楼1#,日立电梯（中国）有限公司,乘客电梯,31104306262017070024,,日立电梯（中国）有限公司,2017-6-16,17G024808,HGE-825-C060,,5,5,5,825,1,2018-1-16,平江县加义镇献冲社区,,,
五矿二十三冶建设集团有限公司第三工程分公司,厂房客梯右 客2#,日立电梯（中国）有限公司,乘客电梯,31104306032016080002,,日立电梯（中国）有限公司,2016-5-1,16G006299,HGE-1050-C090,,5,5,5,1050,1.5,2017-12-31,岳阳市云溪区云溪大道,,,
五矿二十三冶建设集团有限公司第三工程分公司,厂房客梯左 客1#,日立电梯（中国）有限公司,乘客电梯,31104306032016080001,,日立电梯（中国）有限公司,2016-5-1,16G006298,HGE-1050-C090,,5,5,5,1050,1.5,2017-12-31,岳阳市云溪区云溪大道,,,
五矿二十三冶建设集团有限公司第三工程分公司,厂房货梯右 货2#,日立电梯（中国）有限公司,乘客电梯,31204306032016070002,,日立电梯（中国）有限公司,2016-5-1,16G006297,LF-3000-2S30,,5,5,5,3000,0.5,2017-12-31,岳阳市云溪区云溪大道,,,
五矿二十三冶建设集团有限公司第三工程分公司,厂房货梯左 货1#,日立电梯（中国）有限公司,乘客电梯,31204306032016070001,,日立电梯（中国）有限公司,2016-5-1,16G006296,LF-3000-2S30,,5,5,5,3000,0.5,2017-12-31,岳阳市云溪区云溪大道,,,
泰和金凤公寓,9栋 9-2#,广州广日电梯工业有限公司,乘客电梯,31104306022014090033,,广州广日电梯工业有限公司,2014-7-10,14166733008,G·Wiz,,28,28,28,1000,1.75,2018-1-8,岳阳楼区巴陵东路高铁站旁,,,
泰和金凤公寓,9栋 9-1#,广州广日电梯工业有限公司,乘客电梯,31104306022014090032,,广州广日电梯工业有限公司,2014-7-10,14166733007,G·Wiz,,28,28,28,1000,1.75,2018-1-8,岳阳楼区巴陵东路高铁站旁,,,
泰和金凤公寓,7栋 7-1#,广州广日电梯工业有限公司,乘客电梯,31104306022014090026,,广州广日电梯工业有限公司,2014-7-10,14166733001,G·Wiz,,28,28,28,1050,1.75,2018-1-8,岳阳楼区巴陵东路高铁站旁,,,
泰和金凤公寓,7栋 7-2#,广州广日电梯工业有限公司,乘客电梯,31104306022014090027,,广州广日电梯工业有限公司,2014-7-10,14166733002,G·Wiz,,28,28,28,1050,1.75,2018-1-8,岳阳楼区巴陵东路高铁站旁,,,
泰和金凤公寓,10栋东 10-4#,广州广日电梯工业有限公司,乘客电梯,31104306832016120006,,广州广日电梯工业有限公司,2016-10-1,16360133005,G·Wiz1050-C01.75,,29,29,29,1050,1.75,2018-1-8,岳阳楼区巴陵东路高铁站旁,,,
泰和金凤公寓,3栋东 3-1#,广州广日电梯工业有限公司,乘客电梯,31104306832016120003,,广州广日电梯工业有限公司,2016-10-1,16360133002,G·Wiz825-C01.75,,20,20,20,825,1.75,2018-1-8,岳阳楼区巴陵东路高铁站旁,,,
泰和金凤公寓,10栋东 10-2#,广州广日电梯工业有限公司,乘客电梯,31104306832016120008,,广州广日电梯工业有限公司,2016-10-1,16360133007,G·Wiz1050-C01.75,,28,28,28,1050,1.75,2018-1-8,岳阳楼区巴陵东路高铁站旁,,,
泰和金凤公寓,10栋西 10-1#,广州广日电梯工业有限公司,乘客电梯,31104306832016120009,,广州广日电梯工业有限公司,2016-10-1,16360133008,G·Wiz1050-C01.75,,28,28,28,1050,1.75,2018-1-8,岳阳楼区巴陵东路高铁站旁,,,
泰和金凤公寓,3栋西 3-3#,广州广日电梯工业有限公司,乘客电梯,31104306832016120002,,广州广日电梯工业有限公司,2016-10-1,16360133001,G·Wiz825-C01.75,,20,20,20,825,1.75,2018-1-8,岳阳楼区巴陵东路高铁站旁,,,
泰和金凤公寓,3栋东 3-4#,广州广日电梯工业有限公司,乘客电梯,31104306832016120005,,广州广日电梯工业有限公司,2016-10-1,16360133004,G·Wiz825-C01.75,,19,19,19,825,1.75,2018-1-8,岳阳楼区巴陵东路高铁站旁,,,
泰和金凤公寓,5栋西 5-4#,广州广日电梯工业有限公司,乘客电梯,31104306832015090002,,广州广日电梯工业有限公司,2015-6-10,14166933002,G·Wiz825-C01.75,,18,18,18,825,1.75,2018-1-8,岳阳楼区巴陵东路高铁站旁,,,
泰和金凤公寓,3栋西 3-2#,广州广日电梯工业有限公司,乘客电梯,3110430683201612004,,广州广日电梯工业有限公司,2016-10-1,16360133003,G·Wiz825-C01.75,,18,18,18,825,1.75,2018-1-8,岳阳楼区巴陵东路高铁站旁,,,
泰和金凤公寓,10栋西 10-3#,广州广日电梯工业有限公司,乘客电梯,31104306832016120007,,广州广日电梯工业有限公司,2016-10-1,16360133006,G·Wiz1050-C01.75,,29,29,29,1050,1.75,2018-1-8,岳阳楼区巴陵东路高铁站旁,,,
泰和金凤公寓,6栋西 6-3#,广州广日电梯工业有限公司,乘客电梯,31104306022015090009,,广州广日电梯工业有限公司,2015-6-10,14166933010,G·Wiz825-C01.75,,18,18,18,825,1.75,2018-1-8,岳阳楼区巴陵东路高铁站旁,,,
